date,open,high,low,close,volume
2025-07-15 10:15:00,210.04,210.29,209.75,209.91,404023.0
2025-07-15 10:10:00,209.79,210.08,209.7,210.04,394000.0
2025-07-15 10:05:00,209.73,210.17,209.64,209.8,479038.0
2025-07-15 10:00:00,209.67,209.81,209.35,209.7,552753.0
2025-07-15 09:55:00,209.81,209.86,209.4,209.65,634772.0
2025-07-15 09:50:00,209.88,210.32,209.64,209.83,603645.0
2025-07-15 09:45:00,210.67,210.69,209.74,209.89,719051.0
2025-07-15 09:40:00,210.57,211.12,210.2,210.66,1188407.0
2025-07-15 09:35:00,210.43,210.69,209.98,210.57,1196348.0
2025-07-15 09:30:00,209.32,210.49,208.93,210.41,2851191.0
2025-07-14 15:55:00,208.65,208.81,208.56,208.56,1862255.0
2025-07-14 15:50:00,208.62,208.91,208.61,208.62,846102.0
2025-07-14 15:45:00,208.69,208.7,208.52,208.61,371228.0
2025-07-14 15:40:00,208.83,208.86,208.59,208.69,419794.0
2025-07-14 15:35:00,209.11,209.15,208.83,208.85,433292.0
2025-07-14 15:30:00,209.19,209.19,209.06,209.11,248223.0
2025-07-14 15:25:00,209.18,209.3,209.03,209.18,387992.0
2025-07-14 15:20:00,209.28,209.31,209.16,209.16,269986.0
2025-07-14 15:15:00,209.18,209.35,209.17,209.28,384303.0
2025-07-14 15:10:00,208.93,209.18,208.88,209.18,336757.0
2025-07-14 15:05:00,209.14,209.15,208.92,208.94,347738.0
2025-07-14 15:00:00,209.32,209.36,209.1,209.15,313663.0
2025-07-14 14:55:00,209.38,209.41,209.26,209.32,230909.0
2025-07-14 14:50:00,209.19,209.4,209.19,209.37,185690.0
2025-07-14 14:45:00,209.3,209.37,209.16,209.2,194762.0
2025-07-14 14:40:00,209.11,209.34,209.07,209.3,162550.0
2025-07-14 14:35:00,209.07,209.17,209.04,209.13,189971.0
2025-07-14 14:30:00,209.0,209.1,208.99,209.06,207332.0
2025-07-14 14:25:00,209.08,209.13,208.97,209.0,174549.0
2025-07-14 14:20:00,209.15,209.24,208.97,209.07,246879.0
2025-07-14 14:15:00,209.21,209.29,209.09,209.15,189404.0
2025-07-14 14:10:00,209.19,209.23,209.09,209.21,177564.0
2025-07-14 14:05:00,209.33,209.34,209.17,209.19,204574.0
2025-07-14 14:00:00,209.16,209.45,209.16,209.33,241538.0
2025-07-14 13:55:00,209.18,209.22,209.11,209.17,200297.0
2025-07-14 13:50:00,209.23,209.25,209.11,209.17,185050.0
2025-07-14 13:45:00,209.17,209.3,209.05,209.23,248058.0
2025-07-14 13:40:00,209.12,209.22,209.01,209.2,174198.0
2025-07-14 13:35:00,209.09,209.26,209.06,209.13,193821.0
2025-07-14 13:30:00,209.01,209.11,209.01,209.1,151625.0
